@id	@lat	@lon	name	highway	public_transport	operator	shelter	official_status
2902894063	5.3538554	-4.0165540	Gare de wôrô-wôrô de Williamsville	bus_stop	platform	Divers		
6899034710	5.3534116	-4.0160603	Adjamé Liberté - 220 logements	bus_stop	platform			unofficial
6899241577	5.3543459	-4.0164004	Adjamé Liberté	bus_stop	platform		no	unofficial
6899264970	5.3491070	-4.0212174	Marché Gouro	bus_stop	platform		no	unofficial
6899264971	5.3547170	-4.0163751	Adjamé Liberté	bus_stop	platform		no	unofficial
6899264972	5.3584993	-4.0166089	Station Total	bus_stop	platform		no	unofficial
6902639011	5.3648625	-4.0159648	Carrefour 2 Plateaux	bus_stop	platform		no	unofficial
6902639012	5.3553307	-4.0160732	Gare des gbakas d’Abobo par le zoo / Feu de Liberté	bus_stop	platform		no	unofficial
6902868238	5.3654050	-4.0159576	Carrefour 2 Plateaux	bus_stop	platform		no	unofficial
6902868239	5.3633371	-4.0168128	Willy Agban	bus_stop	platform		no	unofficial
6902868240	5.3668297	-4.0152077	Cimetière	bus_stop	platform		no	unofficial
6903535584	5.3489387	-4.0206447	Carrefour Complexe	bus_stop	platform			unofficial
6903544086	5.3503224	-4.0224450	Gare en haut	bus_stop	platform			unofficial
6903544087	5.3480906	-4.0179138	Maternité Thérese	bus_stop	platform			unofficial
6903639376	5.3503569	-4.0227540	Gare en haut	bus_stop	platform			unofficial
6906596960	5.3534777	-4.0157783	Adjamé Liberté	bus_stop	platform		yes	official
6907154301	5.3472669	-4.0171150	220 logements	bus_stop	platform			
6908914486	5.3492060	-4.0171017	Boulangerie Opera	bus_stop	platform			unofficial
6927037625	5.3310139	-4.0238251	Terminus Cité Administrative	bus_stop	platform			
7051905145	5.3498094	-4.0228334	Gare Anono	bus_stop	platform			unofficial
7051905146	5.3495777	-4.0223607	Station	bus_stop	platform			unofficial
7051905148	5.3464705	-4.0227107	Gare Saint Michel	bus_stop	platform			unofficial
7051905149	5.3448595	-4.0227570	Eglise Saint Michel	bus_stop	platform			unofficial
7051905150	5.3436293	-4.0234691	Eglise Méthodiste	bus_stop	platform			unofficial
7051905163	5.3494735	-4.0227589	Gare Anono	bus_stop	platform			unofficial
7052162359	5.3452887	-4.0226483	Carrefour Saint Michel	bus_stop	platform			unofficial
7052162360	5.3418391	-4.0216117	Feu Sapeurs Pompiers	bus_stop	platform			unofficial
7052162375	5.3502860	-4.0224532	Gare en haut	bus_stop	platform			unofficial
7052340401	5.3493033	-4.0218316	Clinique Fraternité	bus_stop	platform			unofficial
7052340415	5.3503214	-4.0226343	Gare en haut	bus_stop	platform			unofficial
7052366500	5.3543439	-4.0177533	Adjamé Texaco	bus_stop	platform			unofficial
7052366502	5.3635577	-4.0255829	Station Shell	bus_stop	platform			unofficial
7052366503	5.3644813	-4.0288018	Pont Ferraille	bus_stop	platform			unofficial
7052366525	5.3545094	-4.0179776	Adjamé Texaco	bus_stop	platform			unofficial
7052994973	5.3505274	-4.0229766	Gare en haut	bus_stop	platform			unofficial
7054787064	5.3642968	-4.0306333	Pont Ferraille	bus_stop	platform			unofficial
7054787065	5.3570481	-4.0257462	Mirador	bus_stop	platform			unofficial
7054787067	5.3567139	-4.0243931	Renault-Mirador	bus_stop	platform			unofficial
7054787069	5.3565919	-4.0244466	Renault-Mirador	bus_stop	platform			unofficial
7054787070	5.3573903	-4.0275842	Ran-Mosquée	bus_stop	platform			unofficial
7054787071	5.3608982	-4.0282265	En bas du pont	bus_stop	platform			unofficial
7054787072	5.3627158	-4.0292184	Wangler	bus_stop	platform			unofficial
7054917919	5.3558654	-4.0209170	Adjamé Renault	bus_stop	platform			unofficial
7055147060	5.3605460	-4.0276379	Bracodi	bus_stop	platform			unofficial
7055147061	5.3541318	-4.0178256	Adjamé Texaco	bus_stop	platform			unofficial
7055596701	5.3615141	-4.0227282	Pont piéton	bus_stop	platform			unofficial
7055596720	5.3545669	-4.0181838	Adjamé Texaco	bus_stop	platform			unofficial
7056562832	5.3653423	-4.0295215	Garage en Haut	bus_stop	platform			unofficial
7056562845	5.3694394	-4.0291520	Guiness	bus_stop	platform			unofficial
7056730277	5.3587519	-4.0301589	Paharmacie Agban	bus_stop	platform			unofficial
7056730278	5.3573188	-4.0261245	Brigade d'Adjamé	bus_stop	platform			unofficial
7057276357	5.3602513	-4.0284221	En bas du pont	bus_stop	platform			unofficial
7057276360	5.3589064	-4.0294570	Adjamé Agban	bus_stop	platform			unofficial
7058310540	5.3413959	-4.0256878	Adjamé Mairie-Dallas	bus_stop	platform		no	unofficial
7058310541	5.3414679	-4.0256578	Adjamé Mairie-Dallas	bus_stop	platform		no	unofficial
7058310543	5.3540040	-4.0166101	Adjamé Liberté	bus_stop	platform		no	unofficial
7071584255	5.3572027	-4.0261916	Brigade d'Adjamé	bus_stop	platform			unofficial
7076835394	5.3591428	-4.0290092	Adjamé Nouvelle Gare	bus_stop	platform			unofficial
7076835395	5.3593604	-4.0288610	Adjamé Nouvelle Gare	bus_stop	platform			unofficial
7076942292	5.3618166	-4.0175125	Gare Kobenan Agban	bus_stop	platform			unofficial
7077860796	5.3601659	-4.0287991	Adjamé Nouvelle Gare	bus_stop	platform		no	unofficial
7077860797	5.3599225	-4.0286243	Adjamé Nouvelle Gare	bus_stop	platform		no	unofficial
7077860798	5.3636722	-4.0293138	Après le Pont	bus_stop	platform		no	unofficial
7078209298	5.3599299	-4.0289535	Adjamé Nouvelle Gare	bus_stop	platform		no	unofficial
7078209300	5.3595346	-4.0287870	Adjamé Nouvelle Gare	bus_stop	platform		no	unofficial
7083105177	5.3505424	-4.0229340	Gare en haut	bus_stop	platform			unofficial
7083153372	5.3616957	-4.0175320	Gare Kobenan Agban	bus_stop	platform			unofficial
7083191191	5.3619274	-4.0173121	Gare Kobenan Agban	bus_stop	platform			unofficial
7083218788	5.3587733	-4.0309504	Adjamé Agban Village	bus_stop	platform			unofficial
7083218789	5.3589712	-4.0324257	Cité Fairmont	bus_stop	platform			unofficial
7085040027	5.3586447	-4.0298058	Adjamé Agban	bus_stop	platform			unofficial
7085040028	5.3533955	-4.0330748	Attécoubé Garage	bus_stop	platform			unofficial
7085040029	5.3508722	-4.0318644	Pharmacie d'Attécoubé - Au feu	bus_stop	platform			unofficial
7085040030	5.3472503	-4.0307459	Carrefour ESF	bus_stop	platform			unofficial
7085040031	5.3413020	-4.0312974	Au feu	bus_stop	platform			unofficial
7085040048	5.3402020	-4.0306695	Ancien ONUCI	bus_stop	platform			unofficial
7085040049	5.3588290	-4.0296637	Pharmacie d'Agban	bus_stop	platform			unofficial
7098748067	5.3588119	-4.0309438	Adjamé Agban Village	bus_stop	platform			unofficial
7098748068	5.3650785	-4.0287510	Pont Ferraille	bus_stop	platform			unofficial
7098748069	5.3637320	-4.0254573	Station Shell	bus_stop	platform			unofficial
7098748070	5.3615635	-4.0223479	Pont piéton	bus_stop	platform			unofficial
7098748071	5.3607831	-4.0179726	Carrefour Agban	bus_stop	platform			unofficial
7884163082	5.3648622	-4.0156022	Gare Carrefour Deux Plateaux	bus_stop	platform		no	unofficial
7884215689	5.3648656	-4.0155056	Gare Carrefour Deux Plateaux	bus_stop	platform		no	unofficial
7884343660	5.3539980	-4.0165155	Adjamé Liberté	bus_stop	platform		no	unofficial
7884343661	5.3483299	-4.0189844	Somafix	bus_stop	platform		no	unofficial
7884343662	5.3465433	-4.0225840	Gare Saint Michel	bus_stop	platform		no	unofficial
7884343663	5.3465940	-4.0225464	Gare Saint Michel	bus_stop	platform		no	unofficial
7884343665	5.3542023	-4.0165651	Adjamé Liberté	bus_stop	platform		no	unofficial
7888223367	5.3316535	-4.0395972	Collège privé Oscad	bus_stop	platform			unofficial
7967074789	5.3323472	-4.0414822	Jean-Paul 2	bus_stop	platform			unofficial
7967074791	5.3536028	-4.0328018	Attécoubé Garage	bus_stop	platform			unofficial
7967074793	5.3582930	-4.0304318	Pharmacie Agban	bus_stop	platform			unofficial
7967075485	5.3324230	-4.0413485	Jean-Paul 2	bus_stop	platform			unofficial
9229594145	5.3632120	-4.0332482	Garage	bus_stop	platform			unofficial
9250076888	5.3549052	-4.0185814	Adjamé Texaco	bus_stop	platform			unofficial
9290026353	5.3560755	-4.0160462	Lavage	bus_stop	platform		no	unofficial
9291194739	5.3567166	-4.0159320	Institut Carine'N	bus_stop	platform		no	unofficial
9294738203	5.3640464	-4.0292100	Après le Pont	bus_stop	platform		no	unofficial
9294738206	5.3640845	-4.0294933	Après le Pont	bus_stop	platform		no	unofficial
9294738207	5.3667135	-4.0295014	Garage en Haut	bus_stop	platform			unofficial
9296302633	5.3570260	-4.0261667	Mirador	bus_stop	platform			unofficial
9300351957	5.3661572	-4.0292178	Garage en Haut	bus_stop	platform			unofficial
9300723294	5.3553262	-4.0161720	Feu de Liberté	bus_stop	platform		no	unofficial
9300723298	5.3627810	-4.0167842	Willy Agban	bus_stop	platform		no	unofficial
10555172683	5.3482801	-4.0169823	Pharmacie Providence	bus_stop	platform			
10555172684	5.3462825	-4.0213551	Boulangerie / Depôt	bus_stop	platform			unofficial
10555172685	5.3463332	-4.0214367	Boulangerie / Depôt	bus_stop	platform			unofficial
10555172686	5.3467935	-4.0211926	Carrefour Californie	bus_stop	platform			unofficial
10555172687	5.3468385	-4.0212821	Carrefour Californie	bus_stop	platform			unofficial
10555172688	5.3473651	-4.0210226	Carrefour Banfora	bus_stop	platform			unofficial
10555172689	5.3475474	-4.0210948	Carrefour Banfora	bus_stop	platform			unofficial
10555172690	5.3488069	-4.0205723	Carrefour Complexe	bus_stop	platform			unofficial
10555172691	5.3488239	-4.0206299	Carrefour Complexe	bus_stop	platform			unofficial
10555172692	5.3481071	-4.0182846	Maternité Thérese	bus_stop	platform			unofficial
10555172693	5.3479859	-4.0173599	Au Tournant	bus_stop	platform		no	unofficial
10555172694	5.3489274	-4.0169985	Boulangerie Opera	bus_stop	platform		no	unofficial
10555172695	5.3493815	-4.0170137	Carrefour de La Poste	bus_stop	platform		no	unofficial
10555172696	5.3520348	-4.0169720	Shell	bus_stop	platform		no	unofficial
10555172697	5.3523698	-4.0170545	Shell	bus_stop	platform		no	unofficial
10556948059	5.3509096	-4.0170707	Carrefour Pâtisserie	bus_stop	platform			unofficial
10556948060	5.3531254	-4.0171726	Chez Hassan	bus_stop	platform			unofficial
10556948061	5.3593637	-4.0168521	2ème Feu Agban	bus_stop	platform			unofficial
10556948062	5.3627893	-4.0171860	Djeni Kobenan	bus_stop	platform			unofficial
10556948063	5.3661427	-4.0210712	Carrefour Poulet	bus_stop	platform			unofficial
10556948075	5.3695599	-4.0263893	Craven	bus_stop	platform			unofficial
10556948076	5.3695672	-4.0263558	Craven	bus_stop	platform			unofficial
10556948077	5.3685174	-4.0259367	Petit Portail CRS	bus_stop	platform			unofficial
10556948078	5.3685415	-4.0258697	Petit Portail CRS	bus_stop	platform			unofficial
10556948079	5.3673811	-4.0248236	CRS	bus_stop	platform			unofficial
10556948080	5.3673064	-4.0248880	CRS	bus_stop	platform			unofficial
10556948081	5.3673972	-4.0241598	Cité Universitaire	bus_stop	platform			unofficial
10556948082	5.3673104	-4.0241571	Cité Universitaire	bus_stop	platform			unofficial
10556948083	5.3672930	-4.0233752	Terminus 14	bus_stop	platform			unofficial
10556948084	5.3673571	-4.0233839	Terminus 14	bus_stop	platform			unofficial
10556948085	5.3673097	-4.0228435	Commissariat de la Police du 11ᵉ Arrondissements	bus_stop	platform			unofficial
10556948086	5.3673558	-4.0227697	Commissariat de la Police du 11ᵉ Arrondissements	bus_stop	platform			unofficial
10556948087	5.3672733	-4.0219677	Cafétière	bus_stop	platform			unofficial
10556948088	5.3673000	-4.0219262	Cafétière	bus_stop	platform			unofficial
10556948089	5.3666588	-4.0214749	Carrefour Copa Barry	bus_stop	platform			unofficial
10556948090	5.3666975	-4.0214159	Carrefour Copa Barry	bus_stop	platform			unofficial
10556948091	5.3657522	-4.0206541	Pharmacie Williamsville	bus_stop	platform			unofficial
10556948092	5.3655252	-4.0205133	Grande Mosquée de Williamsville	bus_stop	platform			unofficial
10556948093	5.3652461	-4.0200573	Grande Mosquée de Williamsville	bus_stop	platform			unofficial
10556948094	5.3647768	-4.0196195	Dépôt	bus_stop	platform			unofficial
10556948095	5.3648282	-4.0195678	Dépôt	bus_stop	platform			unofficial
10556948096	5.3644537	-4.0191970	Ozanga	bus_stop	platform			unofficial
10556948097	5.3644850	-4.0191675	Ozanga	bus_stop	platform			unofficial
10556948098	5.3640895	-4.0187320	Kiosque Mimos	bus_stop	platform			unofficial
10556948099	5.3641065	-4.0187176	Kiosque Mimos	bus_stop	platform			unofficial
10556948100	5.3636872	-4.0182602	Carrefour Affou Keita	bus_stop	platform			unofficial
10556948101	5.3637353	-4.0182187	Carrefour Affou Keita	bus_stop	platform			unofficial
10556948102	5.3418451	-4.0216640	Feu Sapeurs Pompiers	bus_stop	platform			unofficial
10556948103	5.3447873	-4.0229219	Eglise Saint Michel	bus_stop	platform			unofficial
10556948104	5.3464725	-4.0227757	Gare Saint Michel	bus_stop	platform			unofficial
10556998268	5.3419913	-4.0238138	Carrefour Dallas	bus_stop	platform			unofficial
10556998269	5.3435860	-4.0235650	Eglise Méthodiste	bus_stop	platform			unofficial
10557030137	5.3661501	-4.0209884	Carrefour Poulet	bus_stop	platform			unofficial
10557030138	5.3633341	-4.0177124	Konaté	bus_stop	platform			unofficial
10557030139	5.3628707	-4.0171123	Djeni Kobenan	bus_stop	platform			unofficial
10557030140	5.3608659	-4.0170110	Agban	bus_stop	platform			unofficial
10557030141	5.3584805	-4.0164508	Station Total	bus_stop	platform		no	unofficial
10557030142	5.3568929	-4.0157940	Institut Carine'N	bus_stop	platform		no	unofficial
10557036351	5.3480775	-4.0207936	Carrefour Marché Gouro	bus_stop	platform			unofficial
10557036352	5.3452107	-4.0226564	Carrefour Saint Michel	bus_stop	platform			unofficial
10557036353	5.3418718	-4.0237480	Carrefour Dallas	bus_stop	platform			unofficial
10557097664	5.3621470	-4.0170492	Feu Agban	bus_stop	platform			unofficial
10570253267	5.3681432	-4.0291737	Escalier	bus_stop	platform		no	unofficial
10570253268	5.3629390	-4.0289017	Wrangler	bus_stop	platform		no	unofficial
10570253269	5.3688614	-4.0294478	Escalier	bus_stop	platform		no	unofficial
10570432207	5.3560484	-4.0159479	Lavage	bus_stop	platform		no	unofficial
10570456618	5.3300204	-4.0217203	Direction de la Police Criminelle	bus_stop	platform			unofficial
10570456619	5.3314519	-4.0217297	Immeuble CCIA	bus_stop	platform			unofficial
10570456620	5.3326163	-4.0217605	ONI	bus_stop	platform			unofficial
10570456621	5.3358323	-4.0217042	Chantier de la tour F	bus_stop	platform			unofficial
10570456622	5.3366756	-4.0217458	Commandement Superieur	bus_stop	platform			unofficial
10570456623	5.3413791	-4.0202572	Indenié	bus_stop	platform			unofficial
10571292619	5.3564594	-4.0205385	Adjamé Renault	bus_stop	platform			unofficial
10571292620	5.3564461	-4.0204953	Adjamé Renault	bus_stop	platform			unofficial
10571292621	5.3548964	-4.0188693	Texaco	bus_stop	platform		no	unofficial
10571292622	5.3525630	-4.0179908	College Victor	bus_stop	platform		no	unofficial
10571292623	5.3437556	-4.0181867	Frat-Mat	bus_stop	platform		no	unofficial
10571458394	5.3404123	-4.0263423	Pharmacie d'Adjamé-Santé	bus_stop	platform			unofficial
10571458395	5.3417686	-4.0261872	Mairie Adjamé	bus_stop	platform			unofficial
10571458396	5.3419083	-4.0237001	Carrefour Dallas	bus_stop	platform			unofficial
10571458397	5.3416255	-4.0217253	Caisse	bus_stop	platform			unofficial
10577586272	5.3340059	-4.0217788	La Poste	bus_stop	platform			unofficial
10594422067	5.3344283	-4.0423599	Terrain en Haut	bus_stop	platform			unofficial
10594422068	5.3367463	-4.0425557	Sous le Pont	bus_stop	platform			unofficial
10594422069	5.3399557	-4.0446257	Dede	bus_stop	platform			unofficial
10594430759	5.3399697	-4.0442884	Dede	bus_stop	platform			unofficial
10594430760	5.3344356	-4.0422747	Terrain en Haut	bus_stop	platform			unofficial
10833795517	5.3413090	-4.0206045	GSPM	bus_stop	platform			unofficial
10833795518	5.3481035	-4.0228482	Grand Marché Adjamé	bus_stop	platform			unofficial
10834085049	5.3415427	-4.0217377	Caisse	bus_stop	platform			unofficial
10834214738	5.3447380	-4.0182039	Frat-Mat	bus_stop	platform		no	unofficial
10836653666	5.3564616	-4.0448865	SI béton	bus_stop	platform			unofficial
10836688911	5.3615489	-4.0421440	Au Banco	bus_stop	platform			unofficial
10836688912	5.3587462	-4.0315264	Adjamé Agban Village	bus_stop	platform			unofficial
10836730163	5.3613940	-4.0421748	Au Banco	bus_stop	platform			unofficial
10840175910	5.3392050	-4.0262268	INSP	bus_stop	platform			unofficial
10840582163	5.3429447	-4.0261942	Mairie d'Adjamé	bus_stop	platform			unofficial
10840582164	5.3445257	-4.0260789	Pharmacie du Marché	bus_stop	platform			unofficial
10840582165	5.3452868	-4.0260185	forum d'Adjamé	bus_stop	platform			unofficial
10840582166	5.3467476	-4.0259327	Centre commercial petit Dubaï	bus_stop	platform			unofficial
10840582167	5.3490516	-4.0257289	Hopital General d'Adjamé	bus_stop	platform			unofficial
10840582168	5.3502406	-4.0256497	Pharmacie du Banco	bus_stop	platform			unofficial
10840582171	5.3540969	-4.0265054	Adjamé Mosquée	bus_stop	platform			unofficial
10840582172	5.3540207	-4.0259770	Chic Shop Adjamé	bus_stop	platform			unofficial
10840582173	5.3531982	-4.0255786	Bon Prix Mosquée	bus_stop	platform			unofficial
10840582174	5.3490723	-4.0255049	Hopital General d'Adjamé	bus_stop	platform			unofficial
10840582175	5.3465740	-4.0256511	Centre commercial petit Dubaï	bus_stop	platform			unofficial
10840582176	5.3451159	-4.0257597	forum d'Adjamé	bus_stop	platform			unofficial
10840582177	5.3423849	-4.0259699	Mairie Adjamé	bus_stop	platform			unofficial
10844094639	5.3414631	-4.0259283	Adjamé Mairie-Dallas	bus_stop	platform		no	unofficial
