@id	@lat	@lon	name	highway	public_transport	operator	shelter	official_status
2960509028	5.3599225	-3.8901606	École Régionale d’Agriculture	bus_stop	platform			unofficial
6930917942	5.3612016	-3.8943455	Lycee Jeune Fille de Bingerville	bus_stop	platform	SOTRA		official
6930917951	5.3718715	-3.9108525	Pharmacie St Silvestre	bus_stop	platform	SOTRA		official
6930917952	5.3633047	-3.9078860	Hotel Free world Bingerville	bus_stop	platform	SOTRA		official
6930917953	5.3606115	-3.9031767	Universite Pole Scientifique	bus_stop	platform	SOTRA		official
6930917954	5.3602750	-3.8979524	Carrefour CIE Bingerville	bus_stop	platform	SOTRA		official
6930917956	5.3577634	-3.8909747	Lycée Garçon Bingerville	bus_stop	platform	SOTRA		official
6930917959	5.3606740	-3.8841063	Terminus Hopital Mere-Enfant	bus_stop	platform			
6930917962	5.3576746	-3.8908299	Lycée Garçon de Bingerville	bus_stop	platform	SOTRA		official
6930917963	5.3601095	-3.8979685	Carrefour CIE Bingerville	bus_stop	platform	SOTRA		official
6930917964	5.3602150	-3.9020951	Universite Pole Scientifique	bus_stop	platform	SOTRA		official
6930917967	5.3714883	-3.9108391	Pharmacie St Silvestre	bus_stop	platform	SOTRA		official
6948466336	5.3673197	-3.9092667	Coqivoire Bingerville	bus_stop	platform	SOTRA		official
6948466337	5.3613312	-3.8946091	Lycee Jeune Fille de Bingerville	bus_stop	platform	SOTRA		official
6969371620	5.3743039	-3.9117702	Terminus Feh Kesse	bus_stop	platform		no	
7048020780	5.3665112	-3.9091802	Coqivoire Bingerville	bus_stop	platform	SOTRA		official
7052162364	5.3743603	-3.9122875	Feh Kessé	bus_stop	platform			unofficial
7052162365	5.3602229	-3.8981583	CIE	bus_stop	platform			unofficial
7052162366	5.3613609	-3.8947412	Station Texaco	bus_stop	platform			unofficial
7052162367	5.3575471	-3.8882000	Pharmacie Principale de Bingerville	bus_stop	platform			unofficial
7052162369	5.3572714	-3.8844724	Carrefour Bangui	bus_stop	platform			unofficial
