@id	@lat	@lon	name	highway	public_transport	operator	shelter	official_status
2578019447	5.4072226	-3.9998706	Gare de Woro-Woro d’Abobo	bus_stop	platform			
5969971283	5.4412099	-4.0438867	Gare TCV internationale	bus_stop	platform			
5969971284	5.4410557	-4.0438713	Malex transport Abobo	bus_stop	platform			
5969980985	5.4408594	-4.0438036	Gare de Doropo CTDD	bus_stop	platform			
5969980986	5.4406845	-4.0437855	CITR Gare	bus_stop	platform			
5970004128	5.4411411	-4.0420555	UTB	bus_stop	platform			
5970004130	5.4410230	-4.0426737	Gare KTI	bus_stop	platform			
5970004131	5.4409742	-4.0428038	Gare Transport Sana Rasmane	bus_stop	platform			
5970092069	5.4419835	-4.0421976	Banco gare internationale	bus_stop	platform			
5970092070	5.4419535	-4.0423733	GTT Gare de Bondoukou	bus_stop	platform			
5970092071	5.4418914	-4.0426288	LC Gare Abidjan Odienné	bus_stop	platform			
5970092072	5.4418694	-4.0428641	Gare Internationale Bembeya	bus_stop	platform			
5970117203	5.4416645	-4.0421560	Gare d'Akoupé	bus_stop	platform			
5970117204	5.4416578	-4.0422486	Gare d'Adzopé	bus_stop	platform			
5970117205	5.4416498	-4.0423143	Gare d'Agboville	bus_stop	platform			
5970117206	5.4416284	-4.0424377	Gare de Agnibilékro	bus_stop	platform			
5970117207	5.4416191	-4.0424846	Gare de Bondoukou	bus_stop	platform			
5970179320	5.4409429	-4.0429339	Africa Tours Transport	bus_stop	platform			
5970179322	5.4410497	-4.0425068	Gare de Dabakala SD DF	bus_stop	platform			
5970179324	5.4410610	-4.0423666	Gare MTK	bus_stop	platform			
5970201534	5.4415764	-4.0426670	SBTA International	bus_stop	platform			
5970201535	5.4415483	-4.0428454	SABE transport	bus_stop	platform			
5970201536	5.4414722	-4.0429473	International Rambo Transport	bus_stop	platform			
5972785307	5.4411491	-4.0423679	KF Transport	bus_stop	platform			
5972785308	5.4411745	-4.0421923	Abass Transport	bus_stop	platform			
5972785309	5.4412012	-4.0420420	Pelessi Transport	bus_stop	platform			
5972785310	5.4419695	-4.0422647	Bani Transport International	bus_stop	platform			
5972785311	5.4416805	-4.0420863	KFT Transport	bus_stop	platform			
5972785313	5.4415350	-4.0422318	UTRAKO Transport	bus_stop	platform			
5972785314	5.4414949	-4.0423927	YT Transport	bus_stop	platform			
5972785315	5.4414482	-4.0426442	GDF Transport	bus_stop	platform			
5972785316	5.4411158	-4.0425148	Rahimo Transport	bus_stop	platform			
5972785317	5.4413921	-4.0428856	Groupe Sito CMTM Transport	bus_stop	platform			
5972785318	5.4410183	-4.0429969	MT Transport	bus_stop	platform			
6474138997	5.4383936	-4.0138587	Carrefour Akéikoi	bus_stop	platform			
6899241573	5.4200067	-4.0174383	Abobo Gare Mairie	bus_stop	platform		no	unofficial
6899241574	5.4143755	-4.0159818	Mobil	bus_stop	platform		no	unofficial
6899264973	5.4215493	-4.0171184	Abobo Gare Mairie	bus_stop	platform		no	unofficial
6902638988	5.4195759	-4.0153363	Carrefour Marché	bus_stop	platform		no	unofficial
6902638989	5.4186018	-4.0135361	Petro Ivoire	bus_stop	platform		no	unofficial
6902638990	5.4168519	-4.0101975	Au Bar	bus_stop	platform		no	unofficial
6902638991	5.4158204	-4.0081118	Petit Carrefour	bus_stop	platform		no	unofficial
6902638992	5.4152338	-4.0067032	Samaké	bus_stop	platform		no	unofficial
6902638995	5.4197843	-4.0157753	Abobo Gare Mairie	bus_stop	platform		no	unofficial
6902638996	5.4176548	-4.0117095	Ciné Cool	bus_stop	platform		no	unofficial
6902638997	5.4144283	-4.0062697	Boulangerie Samaké	bus_stop	platform		no	unofficial
6902638998	5.4108630	-4.0062877	Menuiserie	bus_stop	platform		no	unofficial
6902638999	5.4101067	-4.0063067	Tchapatcha	bus_stop	platform		no	unofficial
6902639000	5.4092677	-4.0063409	Chaîne Avion	bus_stop	platform		no	unofficial
6902639001	5.4051188	-4.0063993	Pharmacie Dokui	bus_stop	platform		no	unofficial
6902639002	5.4036347	-4.0064176	SODECI	bus_stop	platform		no	unofficial
6902639003	5.4020967	-4.0064567	Etage Noir	bus_stop	platform		no	unofficial
6902639004	5.4001879	-4.0064867	Azur Mobil	bus_stop	platform		no	unofficial
6902868224	5.4185163	-4.0136202	Petro Ivoire	bus_stop	platform		no	unofficial
6902868225	5.4176810	-4.0120423	Ciné Cool	bus_stop	platform		no	unofficial
6902868226	5.4167583	-4.0103097	Au Bar	bus_stop	platform		no	unofficial
6902868227	5.4052002	-4.0065175	Pharmacie Dokui	bus_stop	platform		no	unofficial
6902868228	5.4036959	-4.0065466	SODECI	bus_stop	platform		no	unofficial
