@id	@lat	@lon	name	highway	public_transport	operator	shelter	official_status
768587345	5.3164002	-4.0892201	Terminus 27 Niangon Sud à Gauche	bus_stop	platform	SOTRA	no	official
768587373	5.3198813	-4.0803926	Pharmacie St Martin	bus_stop	platform	SOTRA		official
2460519991	5.3423405	-4.0732826	Terminus Saint André	bus_stop	platform	SOTRA	yes	official
2948146673	5.3396167	-4.0832298	Terminus 47 Yopougon Attié	bus_stop	platform	SOTRA	no	official
3067761599	5.3396157	-4.0912463	Carrefour Obama	bus_stop	platform	SOTRA		official
3067766555	5.3400523	-4.0973501	Mosquée du Maroc	bus_stop	platform	SOTRA		official
3075945505	5.3423254	-4.0738295	Paroisse St André	bus_stop	platform	SOTRA	no	official
3137208051	5.3427541	-4.0668084	Mairie Selmer	bus_stop	platform	SOTRA		official
3137217828	5.3436761	-4.0709484	Lycée Williams Ponty	bus_stop	platform	SOTRA	no	official
3137243386	5.3446768	-4.0679411	Mairie Selmer Yopougon	bus_stop	platform	Sotra	no	official
3666057101	5.3470567	-4.0884501	Pharmacie Port-Bouët 2	bus_stop	platform	SOTRA		official
3950172145	5.3493487	-4.0734515	Figayo	bus_stop	platform	SOTRA		official
4411562346	5.3296306	-4.0613730	Terminus Phalènes	bus_stop	platform	SOTRA		official
4819697544	5.3159469	-4.0896320	Gare Azito	bus_stop	platform			
5281604034	5.3437686	-4.0711802	Lycée Williams Ponty	bus_stop	platform	SOTRA	no	official
5390465849	5.3078259	-4.0374018	Gare lagunaire Aqualines Yopougon		platform			
5739489700	5.3415108	-4.0623610	Complexe sportif Yopougon	bus_stop	platform	SOTRA		official
5927302128	5.3493427	-4.0732080	Figayo	bus_stop	platform	SOTRA		official
5934409413	5.3419853	-4.1003725	Banque Atlantique	bus_stop	platform	SOTRA		official
5936892363	5.3672637	-4.1023177	Terminus Gesco	bus_stop	platform	SOTRA		official
6909225529	5.3618800	-4.0724972	Carrefour Marché Andokoi	bus_stop	platform	SOTRA		official
6909225530	5.3647534	-4.0745652	Epp Konaté Yopougon	bus_stop	platform	SOTRA		official
6909225533	5.3727101	-4.0961792	Darling	bus_stop	platform	SOTRA		official
