id,name,lat_a,lng_a,lat_b,lng_b
19a5c07a-6c8a-4ed8-90aa-18bd52ef6730,gbaka : Carrefour N'dotré → Samake,5.4433,-4.0694,5.4434,-4.0692
6baf823d-e261-46c1-9f2e-9c039a736093,gbaka : Adjamé Liberté → Abobo Gare Mairie,5.3553,-4.0161,5.4192,-4.0148
724baf63-432e-43b8-a1af-e4c74bce8a9d,gbaka : Treichville Gare de Bassam → Adjamé Liberté,5.2997,-4.0025,5.3534,-4.0161
678d9a03-194b-4d52-9311-bfa17eca1a21,gbaka : Gare Anyama → Gendarmerie,5.4807,-4.0533,5.4274,-4.0216
0c43af5b-ca6e-4a28-8f1f-47cddc9d1816,woro woro : Toit rouge Jean-Paul 2 → Sapeur Pompier,5.3306,-4.0474,5.3288,-4.0607
6feb2fd4-12f5-4854-b84c-ec25feb9d9a6,gbaka : Angré Petro Ivoire → Abobo Gare,5.4213,-4.0154,5.4046,-3.9923
0794757c-8ff8-462b-ae6d-3e313ccb0f75,woro woro : Sapeur Pompier → Toit rouge Jean-Paul 2,5.3306,-4.0474,5.3288,-4.0607
a25a6826-103b-4d8a-99cc-64edf12a848f,woro woro : CIE → Soweto,5.286,-3.9514,5.2826,-3.9681
dca6ca4a-f6bf-48b1-b584-d455d7e540d7,gbaka : Songon Agban → Siporex,5.3211,-4.2316,5.3177,-4.1968
0cdd2327-cfe3-4704-bbc0-564ab240bba9,gbaka : Adjamé gare en haut → Cocody Attoban Camp,5.3504,-4.0227,5.3706,-3.9762
75a472d3-b513-4e53-a6b1-9ff6e2289c8b,woro woro : Angré Terminus 81-82 → Riviera 2,5.3538,-3.9778,5.4029,-3.9853
13e644e5-20f1-464e-acc4-cafd6c461290,gbaka : Cocody Riviera 2 → Adjamé Liberté,5.353,-3.9797,5.3528,-4.0128
6e0edd4b-4075-4d79-98f2-cc1def652bfa,woro woro : Riviera 2 → Angré Terminus 81-82,5.3538,-3.9778,5.4033,-3.9853
237d68ab-10b6-4a9e-b3cf-98f9964e2691,woro woro banalisé : Mairie d'Adjamé → Plateau Mosquée,5.3418,-4.0262,5.3242,-4.0242
5fc40084-9c26-4769-9364-91a59fcdd92f,gbaka : Adjamé Liberté → Cocody Riviera 2,5.3534,-4.0146,5.353,-3.9789
7c680360-89da-44aa-8f73-f664875f44b5,woro woro : Angré 22ème → Riviera 2,5.3538,-3.9775,5.398,-3.9905
f6c92dbd-533e-4665-967e-9bfd02a3ac6d,woro woro : Riviera 2 → Angré 22ème,5.3538,-3.9778,5.398,-3.9905
